perception_id,participant_id,perceived_distance,weather_id,velocity_id,distance_id,velocity_ms,real_time,perceived_time,velocity_group,velocity_cat,error_ttc,ttc_bin
213,XXX_31,11.0811,night,70.0,20.0,19.444444444444446,1.0285714285714285,0.5698851428571428,high,70 km/h,-0.4586862857142857,1
214,XXX_31,68.05,night,50.0,60.0,13.88888888888889,4.32,4.8995999999999995,medium,50 km/h,0.5795999999999992,4
215,XXX_31,10.6562,rain,70.0,20.0,19.444444444444446,1.0285714285714285,0.5480331428571428,high,70 km/h,-0.4805382857142857,1
216,XXX_31,19.4366,clear,30.0,20.0,8.333333333333334,2.4,2.3323919999999996,low,30 km/h,-0.06760800000000033,2
217,XXX_32,54.0265,night,20.0,60.0,5.555555555555555,10.8,9.72477,low,20 km/h,-1.0752300000000012,11
218,XXX_32,17.5456,clear,40.0,20.0,11.11111111111111,1.8,1.579104,medium,40 km/h,-0.22089599999999998,2
219,XXX_32,18.0915,clear,20.0,20.0,5.555555555555555,3.6,3.25647,low,20 km/h,-0.3435299999999999,4
220,XXX_32,55.0435,clear,20.0,60.0,5.555555555555555,10.8,9.90783,low,20 km/h,-0.8921700000000001,11
221,XXX_32,39.9882,night,20.0,40.0,5.555555555555555,7.2,7.197876,low,20 km/h,-0.002124000000000237,7
222,XXX_32,74.6226,night,40.0,60.0,11.11111111111111,5.4,6.7160340000000005,medium,40 km/h,1.3160340000000001,5
223,XXX_32,47.1717,clear,40.0,40.0,11.11111111111111,3.6,4.245453,medium,40 km/h,0.6454530000000003,4
224,XXX_32,16.3289,night,20.0,20.0,5.555555555555555,3.6,2.9392020000000003,low,20 km/h,-0.6607979999999998,4
225,XXX_32,10.4452,clear,60.0,20.0,16.666666666666668,1.2,0.6267119999999999,high,60 km/h,-0.573288,1
226,XXX_32,54.7414,night,60.0,40.0,16.666666666666668,2.4,3.2844839999999995,high,60 km/h,0.8844839999999996,2
227,XXX_32,49.8311,clear,60.0,40.0,16.666666666666668,2.4,2.9898659999999997,high,60 km/h,0.5898659999999998,2
228,XXX_32,95.1304,clear,60.0,60.0,16.666666666666668,3.5999999999999996,5.707824,high,60 km/h,2.107824,4
229,XXX_32,20.5071,night,40.0,20.0,11.11111111111111,1.8,1.8456390000000003,medium,40 km/h,0.04563900000000021,2
230,XXX_32,10.5937,rain,60.0,20.0,16.666666666666668,1.2,0.6356219999999999,high,60 km/h,-0.564378,1
231,XXX_32,18.4774,night,60.0,20.0,16.666666666666668,1.2,1.108644,high,60 km/h,-0.09135599999999999,1
232,XXX_32,20.3545,rain,20.0,20.0,5.555555555555555,3.6,3.6638100000000002,low,20 km/h,0.06381000000000014,4
233,XXX_32,80.1066,rain,40.0,60.0,11.11111111111111,5.4,7.209594,medium,40 km/h,1.8095939999999997,5
234,XXX_32,63.975,clear,40.0,60.0,11.11111111111111,5.4,5.757750000000001,medium,40 km/h,0.35775000000000023,5
235,XXX_32,44.9395,night,40.0,40.0,11.11111111111111,3.6,4.044555000000001,medium,40 km/h,0.4445550000000007,4
236,XXX_32,54.9957,night,60.0,60.0,16.666666666666668,3.5999999999999996,3.2997419999999997,high,60 km/h,-0.3002579999999999,4
237,XXX_32,33.7619,rain,40.0,40.0,11.11111111111111,3.6,3.0385709999999997,medium,40 km/h,-0.5614290000000004,4
238,XXX_32,39.3056,rain,60.0,40.0,16.666666666666668,2.4,2.3583359999999995,high,60 km/h,-0.04166400000000037,2
239,XXX_32,37.4224,clear,20.0,40.0,5.555555555555555,7.2,6.736032000000001,low,20 km/h,-0.4639679999999995,7
240,XXX_32,29.9435,rain,20.0,40.0,5.555555555555555,7.2,5.38983,low,20 km/h,-1.8101700000000003,7
241,XXX_32,85.0769,rain,60.0,60.0,16.666666666666668,3.5999999999999996,5.104614,high,60 km/h,1.5046140000000001,4
242,XXX_32,13.2433,rain,40.0,20.0,11.11111111111111,1.8,1.191897,medium,40 km/h,-0.6081030000000001,2
243,XXX_32,49.1007,rain,20.0,60.0,5.555555555555555,10.8,8.838126,low,20 km/h,-1.961874,11
244,XXX_33,22.8397,rain,30.0,20.0,8.333333333333334,2.4,2.740764,low,30 km/h,0.34076400000000007,2
245,XXX_33,49.0707,night,70.0,40.0,19.444444444444446,2.057142857142857,2.5236359999999998,high,70 km/h,0.46649314285714283,2
246,XXX_33,43.7141,night,50.0,40.0,13.88888888888889,2.88,3.1474152,medium,50 km/h,0.2674152000000003,3
247,XXX_33,50.7031,clear,70.0,40.0,19.444444444444446,2.057142857142857,2.607588,high,70 km/h,0.5504451428571429,2
248,XXX_33,77.066,rain,70.0,60.0,19.444444444444446,3.0857142857142854,3.9633942857142856,high,70 km/h,0.8776800000000002,3
249,XXX_33,52.7312,clear,30.0,60.0,8.333333333333334,7.199999999999999,6.327744,low,30 km/h,-0.8722559999999993,7
250,XXX_33,60.1294,rain,50.0,60.0,13.88888888888889,4.32,4.3293168,medium,50 km/h,0.009316799999999681,4
251,XXX_33,9.23148,night,70.0,20.0,19.444444444444446,1.0285714285714285,0.4747618285714285,high,70 km/h,-0.5538095999999999,1
252,XXX_33,41.445,rain,50.0,40.0,13.88888888888889,2.88,2.98404,medium,50 km/h,0.10403999999999991,3
253,XXX_33,17.2063,clear,30.0,20.0,8.333333333333334,2.4,2.0647559999999996,low,30 km/h,-0.3352440000000003,2
254,XXX_33,19.0536,clear,50.0,20.0,13.88888888888889,1.44,1.3718591999999998,medium,50 km/h,-0.06814080000000011,1
255,XXX_33,24.6954,rain,70.0,20.0,19.444444444444446,1.0285714285714285,1.2700491428571428,high,70 km/h,0.2414777142857143,1
256,XXX_33,18.589,night,50.0,20.0,13.88888888888889,1.44,1.3384079999999998,medium,50 km/h,-0.10159200000000013,1
257,XXX_33,42.0789,night,30.0,40.0,8.333333333333334,4.8,5.049467999999999,low,30 km/h,0.24946799999999936,5
258,XXX_33,51.7125,rain,30.0,60.0,8.333333333333334,7.199999999999999,6.2055,low,30 km/h,-0.9944999999999995,7
259,XXX_33,65.3236,night,70.0,60.0,19.444444444444446,3.0857142857142854,3.359499428571428,high,70 km/h,0.2737851428571427,3
260,XXX_33,12.6851,rain,50.0,20.0,13.88888888888889,1.44,0.9133272,medium,50 km/h,-0.5266727999999999,1
